symbol,date,open,high,low,close,volume,adjclose,ts
AAPL,2025-12-19,272.1499938964844,274.6000061035156,269.8999938964844,273.6700134277344,144632000,273.4141845703125,2026-03-11T23:38:40.476054
AAPL,2025-12-22,272.8599853515625,273.8800048828125,270.510009765625,270.9700012207031,36571800,270.7166748046875,2026-03-11T23:38:40.476054
AAPL,2025-12-23,270.8399963378906,272.5,269.55999755859375,272.3599853515625,29642000,272.1053771972656,2026-03-11T23:38:40.476054
AAPL,2025-12-24,272.3399963378906,275.42999267578125,272.20001220703125,273.80999755859375,17910600,273.55401611328125,2026-03-11T23:38:40.476054
AAPL,2025-12-26,274.1600036621094,275.3699951171875,272.8599853515625,273.3999938964844,21521800,273.1444091796875,2026-03-11T23:38:40.476054
AAPL,2025-12-29,272.69000244140625,274.3599853515625,272.3500061035156,273.760009765625,23715200,273.50408935546875,2026-03-11T23:38:40.476054
AAPL,2025-12-30,272.80999755859375,274.0799865722656,272.2799987792969,273.0799865722656,22139600,272.82470703125,2026-03-11T23:38:40.476054
AAPL,2025-12-31,273.05999755859375,273.67999267578125,271.75,271.8599853515625,27293600,271.6058349609375,2026-03-11T23:38:40.476054
AAPL,2026-01-02,272.260009765625,277.8399963378906,269.0,271.010009765625,37838100,270.75665283203125,2026-03-11T23:38:40.476054
AAPL,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45647200,267.0101623535156,2026-03-11T23:38:40.476054
AAPL,2026-01-06,267.0,267.54998779296875,262.1199951171875,262.3599853515625,52352100,262.1147155761719,2026-03-11T23:38:40.476054
AAPL,2026-01-07,263.20001220703125,263.67999267578125,259.80999755859375,260.3299865722656,48309800,260.08660888671875,2026-03-11T23:38:40.476054
AAPL,2026-01-08,257.0199890136719,259.2900085449219,255.6999969482422,259.0400085449219,50419300,258.7978515625,2026-03-11T23:38:40.476054
AAPL,2026-01-09,259.0799865722656,260.2099914550781,256.2200012207031,259.3699951171875,39997000,259.1275329589844,2026-03-11T23:38:40.476054
AAPL,2026-01-12,259.1600036621094,261.29998779296875,256.79998779296875,260.25,45263800,260.0067138671875,2026-03-11T23:38:40.476054
AAPL,2026-01-13,258.7200012207031,261.80999755859375,258.3900146484375,261.04998779296875,45730800,260.8059387207031,2026-03-11T23:38:40.476054
AAPL,2026-01-14,259.489990234375,261.82000732421875,256.7099914550781,259.9599914550781,40019400,259.71697998046875,2026-03-11T23:38:40.476054
AAPL,2026-01-15,260.6499938964844,261.0400085449219,257.04998779296875,258.2099914550781,39388600,257.9685974121094,2026-03-11T23:38:40.476054
AAPL,2026-01-16,257.8999938964844,258.8999938964844,254.92999267578125,255.52999877929688,72142800,255.29112243652344,2026-03-11T23:38:40.476054
AAPL,2026-01-20,252.72999572753906,254.7899932861328,243.4199981689453,246.6999969482422,80267500,246.46937561035156,2026-03-11T23:38:40.476054
AAPL,2026-01-21,248.6999969482422,251.55999755859375,245.17999267578125,247.64999389648438,54641700,247.41848754882812,2026-03-11T23:38:40.476054
AAPL,2026-01-22,249.1999969482422,251.0,248.14999389648438,248.35000610351562,39708300,248.1178436279297,2026-03-11T23:38:40.476054
AAPL,2026-01-23,247.32000732421875,249.41000366210938,244.67999267578125,248.0399932861328,41689000,247.80812072753906,2026-03-11T23:38:40.476054
AAPL,2026-01-26,251.47999572753906,256.55999755859375,249.8000030517578,255.41000366210938,55969200,255.17123413085938,2026-03-11T23:38:40.476054
AAPL,2026-01-27,259.1700134277344,261.95001220703125,258.2099914550781,258.2699890136719,49648300,258.0285339355469,2026-03-11T23:38:40.476054
AAPL,2026-01-28,257.6499938964844,258.8599853515625,254.50999450683594,256.44000244140625,41288000,256.2002868652344,2026-03-11T23:38:40.476054
AAPL,2026-01-29,258.0,259.6499938964844,254.41000366210938,258.2799987792969,67253000,258.0385437011719,2026-03-11T23:38:40.476054
AAPL,2026-01-30,255.1699981689453,261.8999938964844,252.17999267578125,259.4800109863281,92443400,259.2374267578125,2026-03-11T23:38:40.476054
AAPL,2026-02-02,260.0299987792969,270.489990234375,259.2099914550781,270.010009765625,73913400,269.7575988769531,2026-03-11T23:38:40.476054
AAPL,2026-02-03,269.20001220703125,271.8800048828125,267.6099853515625,269.4800109863281,64394700,269.22808837890625,2026-03-11T23:38:40.476054
AAPL,2026-02-04,272.2900085449219,278.95001220703125,272.2900085449219,276.489990234375,90545700,276.23150634765625,2026-03-11T23:38:40.476054
AAPL,2026-02-05,278.1300048828125,279.5,273.2300109863281,275.9100036621094,52977400,275.6520690917969,2026-03-11T23:38:40.476054
AAPL,2026-02-06,277.1199951171875,280.9100036621094,276.92999267578125,278.1199951171875,50453400,277.8599853515625,2026-03-11T23:38:40.476054
AAPL,2026-02-09,277.9100036621094,278.20001220703125,271.70001220703125,274.6199951171875,44623400,274.6199951171875,2026-03-11T23:38:40.476054
AAPL,2026-02-10,274.8900146484375,275.3699951171875,272.94000244140625,273.67999267578125,34376900,273.67999267578125,2026-03-11T23:38:40.476054
AAPL,2026-02-11,274.70001220703125,280.17999267578125,274.45001220703125,275.5,51931300,275.5,2026-03-11T23:38:40.476054
AAPL,2026-02-12,275.5899963378906,275.7200012207031,260.17999267578125,261.7300109863281,81077200,261.7300109863281,2026-03-11T23:38:40.476054
AAPL,2026-02-13,262.010009765625,262.2300109863281,255.4499969482422,255.77999877929688,56290700,255.77999877929688,2026-03-11T23:38:40.476054
AAPL,2026-02-17,258.04998779296875,266.2900085449219,255.5399932861328,263.8800048828125,58469100,263.8800048828125,2026-03-11T23:38:40.476054
AAPL,2026-02-18,263.6000061035156,266.82000732421875,262.45001220703125,264.3500061035156,34203300,264.3500061035156,2026-03-11T23:38:40.476054
AAPL,2026-02-19,262.6000061035156,264.4800109863281,260.04998779296875,260.5799865722656,30845300,260.5799865722656,2026-03-11T23:38:40.476054
AAPL,2026-02-20,258.9700012207031,264.75,258.1600036621094,264.5799865722656,42070500,264.5799865722656,2026-03-11T23:38:40.476054
AAPL,2026-02-23,263.489990234375,269.42999267578125,263.3800048828125,266.17999267578125,37308200,266.17999267578125,2026-03-11T23:38:40.476054
AAPL,2026-02-24,267.8599853515625,274.8900146484375,267.7099914550781,272.1400146484375,47014600,272.1400146484375,2026-03-11T23:38:40.476054
AAPL,2026-02-25,271.7799987792969,274.94000244140625,271.04998779296875,274.2300109863281,33714300,274.2300109863281,2026-03-11T23:38:40.476054
AAPL,2026-02-26,274.95001220703125,276.1099853515625,270.79998779296875,272.95001220703125,32345100,272.95001220703125,2026-03-11T23:38:40.476054
AAPL,2026-02-27,272.80999755859375,272.80999755859375,262.8900146484375,264.17999267578125,72366500,264.17999267578125,2026-03-11T23:38:40.476054
AAPL,2026-03-02,262.4100036621094,266.5299987792969,260.20001220703125,264.7200012207031,41827900,264.7200012207031,2026-03-11T23:38:40.476054
AAPL,2026-03-03,263.4800109863281,265.55999755859375,260.1300048828125,263.75,38568900,263.75,2026-03-11T23:38:40.476054
AAPL,2026-03-04,264.6499938964844,266.1499938964844,261.4200134277344,262.5199890136719,39803100,262.5199890136719,2026-03-11T23:38:40.476054
AAPL,2026-03-05,260.7900085449219,261.55999755859375,257.25,260.2900085449219,49658600,260.2900085449219,2026-03-11T23:38:40.476054
AAPL,2026-03-06,258.6300048828125,258.7699890136719,254.3699951171875,257.4599914550781,41120000,257.4599914550781,2026-03-11T23:38:40.476054
AAPL,2026-03-09,255.69000244140625,261.1499938964844,253.67999267578125,259.8800048828125,38218500,259.8800048828125,2026-03-11T23:38:40.476054
AAPL,2026-03-10,257.6499938964844,262.4800109863281,256.95001220703125,260.8299865722656,30537200,260.8299865722656,2026-03-11T23:38:40.476054
